gf_id	species	genes	zma	sbi	sit	osa	osaindica	bdi	hvu	mac	ath	cpa	ptr	vvi	sly	ppa	olu	cre
HOM03M000001	14	3285	228	230	238	248	256	241	223	287	206	304	287	273	246	18	0	0
HOM03M000002	12	2045	6	410	65	87	477	72	899	0	2	15	1	4	7	0	0	0
HOM03M000003	16	2428	202	200	193	172	179	168	170	154	193	158	264	142	159	55	11	8
HOM03M000004	14	472	4	30	1	15	268	31	34	0	1	11	1	1	64	2	0	9
HOM03M000005	16	2350	144	192	224	231	278	149	152	177	81	86	248	162	155	65	2	4
HOM03M000006	14	847	0	73	25	19	450	53	59	1	5	4	19	6	101	27	0	5
HOM03M000007	15	2343	183	221	227	226	237	171	150	99	115	78	266	137	215	16	0	2
HOM03M000008	11	583	1	221	21	28	278	5	17	0	0	0	2	0	6	0	1	3
HOM03M000009	8	244	0	29	0	9	176	0	12	12	0	0	3	1	2	0	0	0
HOM03M000010	14	2061	111	140	160	164	178	132	131	87	96	70	413	214	132	33	0	0
HOM03M000011	16	2034	126	193	186	183	213	118	112	101	143	88	211	161	138	57	1	3
HOM03M000012	14	1983	181	135	137	134	137	132	119	224	137	108	212	113	145	69	0	0
HOM03M000013	16	1897	176	119	118	118	135	100	87	287	130	90	197	132	137	55	6	10
HOM03M000014	16	1785	175	130	136	123	121	107	86	207	121	77	172	79	142	101	2	6
HOM03M000015	13	1744	61	193	221	265	336	165	185	18	21	10	50	58	161	0	0	0
HOM03M000016	14	1096	9	192	209	110	280	38	63	0	6	10	52	6	119	1	1	0
HOM03M000017	14	1625	143	149	153	143	167	142	128	110	74	56	116	77	105	62	0	0
HOM03M000018	13	1603	57	139	158	206	267	89	110	106	2	26	203	160	80	0	0	0
HOM03M000019	14	1569	109	125	147	119	146	114	111	91	107	68	156	96	110	70	0	0
HOM03M000020	16	1544	169	154	135	148	136	130	106	109	106	60	128	36	92	30	4	1
HOM03M000021	16	1515	157	93	98	100	105	96	79	153	97	60	118	73	106	70	26	84
HOM03M000022	16	1435	86	102	113	91	104	84	91	92	90	71	147	141	164	51	5	3
