single1	single2
BD1G53010	OS09G25200
BD5G12740	OS04G39150
BD2G59200	OS01G69940
BD3G56310	OS02G49530
BD2G26076	OS05G33050
BD1G52640	OS07G22220
BD2G08040	OS01G13404
BD4G02630	OS12G40840
BD2G38497	OS05G04180
BD5G25880	OS04G57730
BD5G02400	OS04G01230
BD1G78180	OS03G01570
BD2G05242	OS01G08750
BD4G21540	OS12G42550
BD3G13750	OS08G02340
BD4G28170	OS09G15835
BD5G17370	OS04G46020
BD3G27877	OS10G31820
BD3G02520	OS02G03280
BD1G08470	OS03G53960
BD1G44767	OS06G13050
BD3G55180	OS02G57000
BD4G08527	OS09G03370
BD2G37740	OS05G02680
BD1G67210	OS03G15810
BD1G35040	OS06G49890
BD1G26530	OS07G32570
BD5G22017	OS03G19340
BD1G17650	OS07G48270
BD1G74950	OS03G05710
BD1G19210	OS07G46370
BD1G30980	OS06G44160
BD1G03510	OS03G60840
BD4G09330	OS11G47730
BD3G47550	OS02G38020
BD4G08080	OS12G21890
BD5G11750	OS04G37619
BD2G61940	OS01G73790
BD1G43240	OS06G19390
BD1G25860	OS07G34570
BD1G37870	OS06G36560
BD1G27110	OS07G30980
BD2G42430	OS01G40990
BD2G33620	OS05G08930
BD1G17387	OS07G48602
BD2G37450	OS05G02500
BD1G32560	OS06G46400
BD4G19457	OS11G26850
BD5G05140	OS03G58960
BD1G24710	OS07G37620
BD3G14490	OS08G04180
BD4G35336	OS09G34190
BD3G30187	OS10G35920
BD4G08887	OS09G08670
BD2G43160	OS01G42430
BD2G59080	OS01G69250
BD2G59247	OS01G69990
BD4G31500	OS09G27140
BD5G18407	OS04G47590
BD2G53960	OS01G61400
BD4G31540	OS09G27210
BD3G51020	OS02G44520
BD4G06137	OS12G34330
BD1G72780	OS03G08080
BD1G15840	OS03G32314
BD3G59230	OS02G51430
BD4G40870	OS12G08260
BD2G09940	OS01G16170
BD3G38560	OS08G37610
BD2G49670	OS01G38580
BD3G20200	OS08G21350
BD3G06727	OS02G09920
BD1G07440	OS03G55850
BD3G42370	OS08G43530
BD3G33510	OS10G41360
BD3G12520	OS08G44860
BD2G00850	OS01G01920
BD3G19280	OS08G16480
BD3G54670	OS02G56180
BD5G07730	OS04G31320
BD1G19660	OS07G45060
BD3G08770	OS02G13640
BD3G02170	OS02G02980
BD2G03180	OS01G05500
BD3G19810	OS08G18110
BD2G44010	OS01G43520
BD4G10920	OS11G43900
BD5G21895	OS04G52700
BD3G52380	OS02G47000
BD3G20947	OS10G06610
BD2G02000	OS01G03760
BD1G54200	OS07G10830
BD3G52570	OS02G47350
BD2G26480	OS05G32630
BD4G31640	OS09G27370
BD1G69500	OS04G20960
BD1G73220	OS03G07420
BD3G45230	OS02G33610
BD2G56690	OS10G28640
BD3G44010	OS02G30320
BD1G50610	OS06G02570
BD2G58677	OS01G68770
BD4G33727	OS09G31380
BD4G39550	OS12G13590
BD1G00470	OS11G37730
BD3G11130	OS02G24354
BD1G20510	OS07G29450
BD1G32410	OS06G45980
BD5G10820	OS04G35920
BD1G24100	OS07G38360
BD1G64210	OS03G19930
BD1G46530	OS06G09910
BD5G26560	OS04G58900
BD1G74670	OS01G34190
BD2G43650	OS01G43030
BD2G25570	OS05G33820
BD1G30430	OS06G43590
BD2G48082	OS01G51640
BD1G20840	OS07G42410
BD3G42030	OS08G43190
BD1G63020	OS03G21950
BD5G16470	OS04G44740
BD1G70850	OS03G10780
BD2G57350	OS01G66560
BD5G04673	OS04G18010
BD2G05000	OS01G08400
BD2G02900	OS01G05070
BD4G29947	OS09G24440
BD4G16830	OS11G34210
BD4G35540	OS09G34970
BD1G39363	OS06G30910
BD2G06160	OS01G10280
BD3G20010	OS08G20400
BD1G00980	OS03G63950
BD2G07497	OS01G12640
BD3G34450	OS10G42439
BD3G11090	OS02G20930
BD3G56120	OS02G58010
BD5G21587	OS04G52320
BD1G56580	OS01G31690
BD1G10550	OS03G51000
BD1G48120	OS06G07474
BD2G31100	OS05G22670
BD4G23957	OS11G07870
BD1G64310	OS03G19690
BD2G61550	OS01G73150
BD5G07300	OS04G30890
BD1G30410	OS06G43560
BD1G51480	OS06G04600
BD1G28820	OS07G26490
BD3G48680	OS02G40030
BD1G27377	OS07G30240
BD1G23600	OS07G38970
BD2G33010	OS05G33700
BD1G01810	OS03G63074
BD1G26350	OS07G32880
BD3G56460	OS02G49320
BD1G26020	OS07G33850
BD3G02570	OS02G03330
BD2G41400	OS01G38620
BD1G10210	OS03G51520
BD1G27230	OS07G30840
BD5G24890	OS04G56580
BD1G27040	OS07G31300
BD2G32930	OS11G32280
BD4G04650	OS12G37720
BD2G04830	OS01G08200
BD1G64267	OS03G19760
BD3G37000	OS08G34070
BD3G44850	OS02G32930
BD3G54980	OS02G56740
BD2G52987	OS01G59610
BD1G69520	OS03G12300
BD2G02297	OS01G04260
BD2G47830	OS01G51170
BD3G30530	OS10G36950
BD4G28300	OS09G16910
BD1G65950	OS03G17520
