single1	single2
BD1G53010	SB03G021250
BD5G12740	SB06G019320
BD2G59200	SB03G044270
BD1G67920	SB01G040920
BD1G69170	SB01G042050
BD5G00640	SB09G021230
BD1G71240	SB01G043880
BD2G03930	SB03G005060
BD1G52640	SB06G001810
BD2G06250	SB03G006610
BD2G08040	SB03G000600
BD4G02630	SB08G020520
BD4G44870	SB08G000550
BD2G38497	SB09G002650
BD5G25880	SB06G032610
BD5G02400	SB06G000380
BD1G20185	SB02G040570
BD1G78180	SB01G050290
BD5G14307	SB06G021140
BD3G13750	SB07G001570
BD4G28170	SB02G022180
BD3G29060	SB10G006620
BD4G25540	SB05G000930
BD4G07637	SB01G001000
BD3G27877	SB01G020230
BD1G08470	SB01G007950
BD1G44767	SB10G008560
BD3G55180	SB04G037000
BD2G25340	SB09G020390
BD2G37740	SB09G002020
BD1G67210	SB01G040155
BD1G35040	SB10G029850
BD3G29960	SB01G018190
BD1G17650	SB02G043040
BD1G30310	SB10G025040
BD3G43310	SB04G017850
BD3G47550	SB04G024630
BD4G08080	SB02G000980
BD2G25745	SB01G031660
BD2G47740	SB04G022580
BD1G63310	SB01G036250
BD2G61940	SB03G047200
BD2G16130	SB09G028780
BD1G70080	SB01G042990
BD3G52400	SB06G027270
BD1G27110	SB02G034000
BD2G33620	SB09G005640
BD2G37450	SB09G001660
BD1G32560	SB10G027200
BD1G15560	SB01G015910
BD1G24710	SB02G036440
BD4G07810	SB05G016730
BD3G14490	SB07G002770
BD1G04097	SB01G003660
BD4G35336	SB02G030010
BD3G30187	SB01G017830
BD5G12580	SB01G010040
BD2G43160	SB03G027540
BD2G59080	SB03G044130
BD5G18407	SB06G025390
BD2G53550	SB03G038250
BD2G53960	SB03G038740
BD1G13990	SB01G013880
BD4G31540	SB02G026010
BD3G51020	SB04G032510
BD4G06137	SB08G016700
BD1G72780	SB01G045330
BD2G45370	SB03G029770
BD1G15840	SB01G031870
BD1G05122	SB01G004840
BD3G59230	SB04G027870
BD2G09940	SB03G010545
BD2G23500	SB03G039810
BD3G38560	SB07G029190
BD1G07440	SB01G006960
BD3G42370	SB07G024915
BDCG00720	SBCG00840
BD3G33510	SB01G028950
BD3G12520	SB07G023850
BD2G00850	SB03G008520
BD3G54670	SB04G036490
BD5G07730	SB02G041010
BD1G19660	SB02G041150
BD3G08770	SB04G008200
BD3G02170	SB04G001840
BD2G03180	SB03G006120
BDCG00040	SBCG00060
BD2G44010	SB03G028410
BD5G21895	SB06G028680
BD3G52380	SB04G030970
BD1G54200	SB02G006330
BD2G11200	SB03G011850
BD2G26480	SB09G019430
BD5G26460	SB06G033230
BD1G73220	SB01G045790
BD1G57200	SB02G003300
BD2G02760	SB03G006540
BD2G56690	SB01G021690
BD2G58677	SB03G043750
BD3G11130	SB08G003330
BD3G07490	SB04G007000
BD2G51790	SB03G036430
BD5G10820	SB06G017380
BD1G24100	SB02G036890
BD3G06930	SB04G006440
BD1G17527	SBMG00330
BD5G26560	SB06G033620
BD4G15117	SB05G022820
BD2G43650	SB03G027980
BD1G30430	SB10G025200
BD2G48082	SB03G032780
BDCG00070	SBCG00100
BD1G20840	SB02G039210
BD3G53567	SB10G011813
BD1G63020	SB10G021577
BD5G16470	SB06G023350
BD2G57350	SB03G042250
BD2G05000	SB03G003820
BD2G02900	SB03G006320
BD4G16830	SB05G020870
BD4G35540	SB02G030280
BD3G56730	SB10G031230
BD1G39363	SB10G020020
BD2G28007	SB09G017790
BD2G06160	SB03G002690
BD1G00980	SB01G000590
BD2G07497	SB03G001150
BD1G50067	SB10G002070
BD3G34450	SB01G028220
BD3G02180	SB04G001850
BDCG01060	SBCG01200
BD3G11090	SB04G012930
BD4G20950	SB05G006915
BD5G21587	SB06G028280
BDCG00510	SBCG00610
BD3G41530	SB07G025870
BD1G48120	SB10G004860
BD2G31100	SB04G029230
BD1G10447	SB01G009860
BD4G23957	SB05G005220
BD1G64310	SB01G037300
BD2G61550	SB03G046740
BD2G06770	SB03G002060
BD1G28820	SB02G010610
BD3G48680	SB04G025940
BD1G23600	SB02G037420
BD1G01810	SB01G001360
BD3G56460	SB04G029450
BD3G02570	SB04G002190
BD2G41400	SB03G025580
BD3G39500	SB07G028380
BD1G27040	SB02G033950
