single1	single2
OS09G25200	SB03G021250
OS04G39150	SB06G019320
OS01G69940	SB03G044270
OS04G44470	SB06G023160
OS12G39620	SB08G019690
OS07G22220	SB06G001810
OS01G43180	SB03G028170
OS01G13404	SB03G000600
OS12G40840	SB08G020520
OS05G04180	SB09G002650
OS04G59494	SB06G034050
OS04G57730	SB06G032610
OS04G01230	SB06G000380
OS03G01570	SB01G050290
OS08G02340	SB07G001570
OS01G60820	SB09G018515
OS10G27174	SB01G046070
OSMG00420	SBMG00430
OS09G15835	SB02G022180
OS10G31820	SB01G020230
OS03G53960	SB01G007950
OS06G13050	SB10G008560
OS02G57000	SB04G037000
OS05G02680	SB09G002020
OS03G15810	SB01G040155
OS07G28820	SB02G032960
OS06G49890	SB10G029850
OS07G48270	SB02G043040
OS03G31090	SB07G025000
OSMG00620	SBMG00180
OS02G38020	SB04G024630
OS12G21890	SB02G000980
OS03G50510	SB01G010250
OS01G73790	SB03G047200
OS05G23940	SB09G027090
OS07G30980	SB02G034000
OS02G25780	SB02G001700
OS05G08930	SB09G005640
OS05G02500	SB09G001660
OS06G46400	SB10G027200
OS06G30310	SB10G017820
OS07G06800	SB02G003510
OS03G06950	SB01G046140
OS07G37620	SB02G036440
OS08G04180	SB07G002770
OS01G56940	SB03G036255
OS09G34190	SB02G030010
OS10G35920	SB01G017830
OS01G42430	SB03G027540
OS01G69250	SB03G044130
OS04G47590	SB06G025390
OS01G61400	SB03G038740
OS09G27210	SB02G026010
OS02G44520	SB04G032510
OS12G34330	SB08G016700
OS03G08080	SB01G045330
OS03G32314	SB01G031870
OS01G16354	SB03G010710
OS02G51430	SB04G027870
OS01G16170	SB03G010545
OS06G43790	SB10G025390
OS10G32880	SB01G019790
OS08G37610	SB07G029190
OS02G57640	SB04G037690
OS03G55850	SB01G006960
OS08G43530	SB07G024915
OS10G41360	SB01G028950
OS08G44860	SB07G023850
OS01G01920	SB03G008520
OS02G56180	SB04G036490
OS04G31320	SB02G041010
OS07G45060	SB02G041150
OS02G13640	SB04G008200
OS02G02980	SB04G001840
OS01G05500	SB03G006120
OS01G43520	SB03G028410
OS04G52700	SB06G028680
OS02G47000	SB04G030970
OS07G10830	SB02G006330
OS05G32630	SB09G019430
OS03G07420	SB01G045790
OS12G33100	SB05G006625
OS10G28640	SB01G021690
OS05G23600	SB01G048520
OS01G68770	SB03G043750
OS02G24354	SB08G003330
OS04G35920	SB06G017380
OS07G38360	SB02G036890
OS08G42590	SB07G025770
OS12G42700	SB08G022070
OS04G58900	SB06G033620
OS01G43030	SB03G027980
OS06G43590	SB10G025200
OS01G51640	SB03G032780
OS07G42410	SB02G039210
OS03G21950	SB10G021577
OS04G44740	SB06G023350
OS01G66560	SB03G042250
OS01G08400	SB03G003820
OS01G05070	SB03G006320
OS11G34210	SB05G020870
OS09G34970	SB02G030280
OS06G30910	SB10G020020
OS01G10280	SB03G002690
OS05G28960	SB03G012600
OS03G63950	SB01G000590
OS01G12640	SB03G001150
OS10G42439	SB01G028220
OS02G20930	SB04G012930
OS04G52320	SB06G028280
OS06G07474	SB10G004860
OS05G22670	SB04G029230
OS01G13150	SB03G000750
OS11G07870	SB05G005220
OS02G22370	SB04G014390
OS03G19690	SB01G037300
OS01G73150	SB03G046740
OS07G26490	SB02G010610
OS02G40030	SB04G025940
OS07G38970	SB02G037420
OS03G63074	SB01G001360
OS02G49320	SB04G029450
OS02G03330	SB04G002190
OS01G38620	SB03G025580
OS01G60440	SB03G038150
OS07G31300	SB02G033950
OS11G32280	SB05G019630
OS12G37720	SB08G018400
