BD3G06090	BD2G18677	OS05G45890
BD3G03350	BD1G14140	OS02G04520
BD2G56340	BD2G24310	OS01G65094
BD2G05808	BD2G05800	OS01G09740
BD3G59620	BD1G66510	OS03G16874
BD3G49860	BD4G14680	OS02G42670
BD2G26640	BD2G22830	OS05G32420
BD5G25490	BD3G36620	OS04G57290
BD5G11040	BD3G46230	OS04G36810
BD2G31080	BD1G04040	OS05G27000
BD1G17340	BD5G09040	OS01G13190
BD3G54700	BD3G54580	OS02G56210
BD5G05150	BD3G43190	OS04G24520
BD4G34440	BD3G53770	OS09G32680
BD2G21217	BD1G55060	OS05G41510
BD2G07880	BD1G75650	OS01G13180
BD3G38390	BD1G28770	OS08G37320
BD2G50820	BD2G50815	OS01G55890
BD3G60330	BD1G43050	OS02G58150
BD2G26115	BD2G26110	OS05G33010
BD4G14150	BD4G14140	OS11G38990
BD4G32890	BD3G38820	OS08G37990
BD4G24880	BD3G17836	OS08G10570
BD2G03290	BD2G03250	OS01G05660
BD3G05060	BD4G11450	OS02G07160
BD3G45320	BD5G10010	OS02G33790
BD1G49810	BD1G49900	OS06G03910
BD5G18740	BD1G09680	OS03G52340
BD5G02047	BD3G57650	OS09G29790
BD3G57280	BD1G46420	OS06G10340
BD1G12630	BD4G00820	OS03G47190
BD3G49500	BD1G10600	OS05G30880
BD3G43170	BD2G38000	OS02G26814
BD3G51120	BD2G23100	OS02G45000
BD5G09750	BD1G50100	OS04G34100
BD5G02300	BD5G02310	OS04G01480
BD1G71010	BD1G70960	OS03G10590
BD2G37530	BD4G35665	OS05G02650
BD2G26410	BD1G39070	OS06G34710
BD5G21280	BD5G21290	OS04G52110
BD2G52710	BD2G41560	OS01G59060
BD3G02840	BD1G72950	OS02G03740
BD5G21120	BD3G48990	OS01G42980
BD5G16290	BD4G01470	OS04G44470
BD1G56937	BD1G56930	OS07G06800
BD3G05246	BD3G05252	OS02G07420
BD4G45410	BD1G78760	OS03G31150
BD5G07860	BD3G44020	OS02G30380
BD4G02700	BD2G19950	OS12G40550
BD2G09850	BD2G09840	OS02G14780
BD1G48100	BD1G78727	OS06G07490
BD2G37930	BD2G05300	OS04G58830
BD1G75970	BD1G65977	OS03G04400
BD2G12857	BD2G34940	OS01G26020
BD3G58190	BD4G32760	OS02G52370
BD5G10390	BD3G45560	OS04G35300
BD2G40147	BD2G14070	OS01G34330
BD3G10590	BD1G78220	OS08G37444
BD3G55870	BD1G29160	OS02G57640
BD5G24917	BD3G16920	OS08G05840
BD1G34980	BD1G44400	OS06G49800
BD1G28650	BD1G00510	OS07G27300
BD1G61030	BD1G20592	OS03G26490
BD4G15730	BD3G00240	OS02G01020
BD1G58600	BD5G15610	OS06G22690
BD4G43740	BD2G38330	OS05G03780
BD3G53502	BD1G42720	OS06G21390
BD1G68780	BD1G68770	OS03G13360
BD3G11270	BD1G41907	OS06G30310
BD1G14400	BD1G04226	OS01G08770
BD3G04970	BD2G08160	OS02G07040
BD2G41520	BD2G41410	OS01G39010
BD3G19550	BD1G68620	OS08G17294
BD4G21762	BD4G21756	OS11G12800
BD3G03450	BD3G11160	OS02G04780
BD5G13070	BD5G13080	OS04G39560
BD4G20480	BD2G39030	OS11G16580
BD3G57210	BD1G46487	OS02G53780
BD4G45130	BD4G45110	OS10G17740
BD3G60762	BD3G39580	OS07G25440
BD1G15240	BD4G06600	OS12G40750
BD4G35860	BD3G15080	OS09G35980
BD1G60846	BD4G25110	OS03G27019
BD3G55310	BD2G49650	OS02G57150
BD4G03810	BD1G14986	OS12G38650
BD1G09327	BD4G04250	OS03G52780
BD3G31500	BD1G77440	OS03G02540
BD2G44440	BD4G28745	OS01G44210
BD1G56650	BD1G25822	OS07G34610
BD3G45427	BD1G11490	OS03G50510
BD2G58742	BD1G38000	OS06G36170
BD1G21050	BD1G15020	OS07G42632
BD3G34340	BD2G26870	OS05G32140
BD2G15250	BD1G35900	OS06G41440
BD3G47460	BD2G24715	OS02G37910
BD2G58697	BD1G24950	OS01G68810
BD1G03290	BD1G03150	OS03G61140
BD3G41330	BD3G18760	OS08G42020
BD2G49180	BD2G49167	OS01G53560
BD2G52910	BD5G03100	OS01G59500
BD4G27627	BD4G27650	OS09G12780
BD2G10710	BD1G34100	OS03G42050
BD4G01480	BD1G13800	OS12G42220
BD1G19930	BD5G03470	OS07G44650
BD1G52340	BD1G50730	OS06G01410
BD5G23410	BD3G15780	OS04G54590
BD2G56330	BD2G24300	OS01G65090
BD4G16140	BD4G08310	OS11G36070
BD3G03380	BD1G29520	OS10G25780
BD1G48440	BD1G43870	OS06G06820
BD3G18840	BD1G58317	OS08G14490
BD5G08610	BD2G12480	OS04G32580
BD1G32480	BD1G29530	OS02G52460
BD5G12810	BD4G28837	OS04G39210
BD2G36700	BD2G13380	OS05G04860
BD3G56720	BD1G29340	OS02G58110
BD4G03230	BD4G13370	OS12G39620
BD2G55260	BD1G62750	OS01G63500
BD1G12580	BD4G00780	OS03G47280
BD3G03360	BD0G00260	OS06G49110
BD5G12340	BD1G77340	OS04G38610
BD2G17430	BD2G17420	OS05G47820
BD2G33390	BD2G05660	OS05G09490
BD1G20770	BD4G01000	OS07G43360
BD5G07290	BD3G10220	OS02G17520
BD4G23270	BD1G50255	OS11G09160
BD2G62360	BD2G37160	OS03G40920
BD3G06840	BD2G45525	OS02G10020
BD4G36300	BD4G11517	OS05G09630
BD5G02060	BD3G57657	OS01G37090
BD4G12050	BD4G06280	OS12G33100
BD3G42937	BD3G03817	OS05G29010
BD4G03710	BD3G57520	OS02G53330
BD4G37046	BD1G53360	OS07G14350
BD3G00610	BD1G51930	OS02G01310
BD4G29370	BD1G76440	OS12G31430
BD1G58817	BD1G36770	OS06G39906
BD2G53460	BD1G00390	OS01G60440
BD5G13790	BD1G68630	OS04G40840
BD1G28280	BD1G28290	OS07G28820
BD4G39210	BD4G26287	OS12G17310
BD1G17990	BD1G01560	OS03G63430
BD1G04780	BD1G54440	OS07G10420
BD5G01910	BD3G07987	OS01G40000
BD2G46730	BD2G17240	OS01G49026
BD4G40280	BD1G13850	OS10G41960
BD1G47950	BD1G47960	OS06G07770
BD2G34920	BD2G34080	OS05G06490
BD4G06590	BD1G15230	OS12G40760
BD2G35880	BD2G35870	OS05G05660
BD2G09607	BD2G09580	OS01G15770
BD5G11254	BD3G46020	OS02G35315
BD4G39430	BD2G03546	OS02G22370
BD1G52110	BD3G00710	OS06G01680
BD2G02687	BD1G54400	OS04G56730
BD5G01890	BD2G06310	OS04G02150
BD1G33130	BD1G33117	OS05G28190
BD1G37070	BD1G20380	OS06G39260
BD5G15940	BD1G04570	OS04G43922
BD2G61970	BD3G07350	OS01G73950
BD1G63700	BD2G27120	OS01G06740
BD1G06810	BD4G31320	OS03G56800
BD2G50890	BD2G50880	OS01G56000
BD2G51290	BD2G51270	OS01G56500
BD2G11627	BD1G36810	OS02G38250
BD2G09520	BD2G09510	OS01G15630
BD3G52710	BD3G52697	OS02G47570
BD1G54807	BD5G15637	OS07G09400
BD1G07490	BD1G55750	OS03G55784
BD3G39230	BD1G66460	OS03G16940
BD3G30060	BD2G58736	OS10G35690
BD5G14230	BD4G32600	OS09G29190
BD2G16920	BD2G11780	OS02G20940
BD3G52890	BD1G42020	OS02G47830
BD2G26330	BD1G38790	OS06G27800
BD3G38330	BD4G32460	OS08G37270
BD5G24542	BD5G24536	OS04G56405
BD5G15167	BD1G21160	OS04G42870
BD3G58870	BD3G58840	OS02G56910
BD4G07040	BD4G07007	OS12G31380
BD3G07320	BD3G07310	OS02G10590
BD3G52102	BD5G19820	OS04G49954
BD4G33980	BD1G54490	OS07G07610
BD3G41900	BD4G35450	OS08G42990
BD2G09007	BD2G07850	OS01G13150
BD5G23220	BD3G15540	OS08G08040
BD4G39110	BD1G41797	OS12G18630
BD5G16680	BD4G29487	OS09G21470
BD3G54507	BD3G54500	OS02G56020
BD4G02882	BD1G37967	OS12G40340
BD2G40830	BD5G22810	OS01G36940
BD3G35290	BD3G35270	OS08G31090
BD2G37320	BD2G62440	OS05G02260
BD4G22260	BD1G50950	OS09G04210
BD1G08780	BD1G08770	OS03G53590
BD2G25560	BD2G53640	OS05G33830
BD1G26820	BD1G61080	OS07G31850
BD2G40820	BD1G37640	OS01G36930
BD2G53920	BD2G22600	OS01G61360
BD1G47580	BD3G54235	OS06G08250
BD1G08977	BD1G08970	OS03G53250
BD1G18790	BD1G18795	OS07G46660
BD4G29740	BD4G29750	OS09G23370
BD2G00477	BD1G07670	OS01G06020
BD1G23180	BD1G23170	OS07G39700
BD4G22405	BD4G22300	OS11G10780
BD2G28060	BD2G11730	OS05G28960
BD3G58890	BD3G58880	OS02G51740
BD4G08790	BD4G08720	OS09G07510
BD5G08180	BD3G44110	OS04G31910
BD4G31990	BD2G19550	OS09G28100
BD1G75720	BD1G65360	OS04G14654
BD4G01260	BD2G57987	OS12G42700
BD3G16377	BD3G16360	OS08G06330
BD3G55820	BD4G38855	OS02G57600
BD5G16360	BD3G49760	OS02G42550
BD2G09380	BD2G09400	OS01G15490
BD3G45020	BD5G09480	OS02G33170
BD3G51350	BD3G14360	OS02G44680
BD3G48150	BD1G06500	OS02G39390
BD1G11830	BD1G05900	OS03G48930
BD4G35840	BD5G03840	OS09G36000
BD1G09790	BD1G09760	OS03G52130
BD3G59650	BD3G41230	OS07G06820
BD1G64290	BD1G64280	OS03G19720
BD2G45040	BD2G45030	OS01G45640
BD5G26400	BD1G30290	OS09G18320
BD5G25291	BD4G44060	OS04G28040
BD4G08152	BD4G08146	OS12G19370
BD3G19660	BD1G16730	OS07G49210
BD2G55940	BD1G14170	OS11G44810
BD5G10860	BD3G51200	OS02G44870
BD4G13260	BD3G26820	OS11G40600
BD3G48440	BD1G10780	OS04G42000
BD2G23490	BD2G30510	OS05G38170
BD4G27970	BD3G34680	OS08G28230
BD5G13410	BD5G13430	OS04G40120
BD2G61220	BD2G19730	OS01G72600
BD2G20580	BD3G48637	OS05G42300
BD1G02740	BD1G02730	OS03G61790
BD2G16600	BD2G16577	OS05G48880
BD3G17960	BD5G21337	OS07G25420
BD3G22595	BD3G22590	OS10G08780
BD5G21570	BD1G69860	OS04G52300
BD4G40380	BD3G34646	OS02G19440
BD1G50920	BD3G01200	OS08G44540
BD2G01270	BD2G01090	OS01G02170
BD1G36620	BD4G40590	OS06G40110
BD4G01250	BD2G58007	OS12G42840
BD4G26437	BD1G29410	OS06G42490
BD5G05060	BD1G42010	OS04G24180
BD5G19880	BD5G19870	OS04G49980
BD2G47630	BD2G18020	OS01G50810
BD3G41620	BD3G41600	OS08G42590
BD1G74000	BD1G74100	OS03G06950
BD2G49920	BD4G08280	OS01G54630
BD5G24240	BD1G07410	OS03G42320
BD2G35030	BD2G12570	OS05G06420
BD5G27360	BD1G51390	OS06G04660
BD2G50600	BD2G20010	OS05G37884
BD5G14800	BD2G57060	OS04G42330
BD2G56880	BD1G18320	OS01G67000
BD3G44540	BD4G17080	OS02G31867
BD2G07710	BD1G74010	OS01G12890
BD1G18800	BD1G11460	OS07G46640
BD2G09000	BD2G07860	OS01G13160
BD3G52240	BD5G20065	OS02G46700
BD3G37900	BD2G17750	OS08G36410
BD3G35740	BD5G14360	OS08G31840
BD3G28520	BD1G24420	OS01G31610
BD4G28900	BD4G28890	OS09G19970
BD1G37250	BD3G51260	OS06G38940
BD3G17560	BD1G27250	OS12G21500
BD4G13280	BD4G13267	OS11G40590
BD5G26360	BD1G30300	OS04G58350
BD5G21640	BD2G08280	OS01G13730
BD1G66240	BD1G16460	OS03G17210
BD3G31900	BD3G05977	OS02G08360
BD1G43370	BD1G43360	OS06G18820
BD5G14160	BD5G14150	OS04G41300
BD2G34890	BD2G12490	OS05G06520
BD4G35120	BD3G50550	OS09G33930
BD5G03590	BD5G03650	OS07G34950
BD5G16490	BD1G65377	OS04G44770
BD4G38340	BD4G38330	OS07G48840
BD3G10697	BD2G20100	OS02G21890
BD3G19910	BD4G20060	OS08G19320
BD1G75920	BD3G53210	OS03G04450
BD2G58622	BD2G62096	OS09G39050
BD2G61810	BD2G61700	OS01G73560
BD4G28960	BD1G04980	OS03G58910
BD4G45170	BD2G22540	OS05G39530
BD2G10770	BD4G17420	OS01G17170
BD1G35390	BD3G06556	OS06G43000
BD2G15127	BD1G27344	OS05G50410
BD4G38660	BD2G00840	OS09G39590
BD3G29350	BD3G29360	OS02G28970
BD1G38227	BD4G23560	OS07G10350
BD3G12930	BD3G23580	OS08G01130
BD2G47710	BD2G18120	OS05G46470
BD5G07660	BD3G43930	OS04G31120
BD1G54960	BD1G54970	OS07G09040
BD4G06350	BD4G12210	OS12G32992
BD3G45710	BD3G45720	OS02G34830
BD4G14260	BD4G07145	OS11G38790
BD1G11730	BD3G37222	OS03G49210
BD3G33580	BD1G78590	OS10G41420
BD4G17380	BD4G00290	OS12G44360
BD4G40850	BD4G22785	OS12G08700
BD4G16570	BD4G16580	OS11G34730
BD3G52410	BD1G72670	OS02G47030
BD3G05780	BD3G05767	OS02G08130
BD3G05690	BD1G31510	OS02G07980
BD4G04120	BD1G00867	OS12G38000
BD1G54900	BD1G49307	OS06G05820
SB02G010930	SB02G010920	BD1G28660
SB10G010000	SB04G029160	BD3G56240
SB10G006566	SB09G030240	BD5G03420
SB07G002135	SB07G002120	BD3G14070
SB04G031090	SB02G038580	BD3G52277
SB04G002150	SB10G000210	BD3G02520
SB05G022695	SB02G026130	BD1G04450
SB09G006040	SB09G001230	BD1G02990
SB03G007310	SB03G007306	BD2G02000
SB09G003950	SB07G027440	BD4G06310
SB09G028340	SB03G030900	BD2G46345
SB01G010136	SB10G006865	BD1G10710
SB08G009810	SB04G004310	BD4G42690
SB04G013380	SB05G000430	BD4G45020
SB08G004690	SB08G001790	BD3G52200
SB01G044880	SB01G044900	BD1G72320
SB07G006230	SB08G021135	BD4G45245
SB02G041110	SB10G008460	BD1G19690
SB10G031125	SB02G042160	BD1G29490
SB10G024430	SB04G006400	BD1G35790
SB04G024510	SB04G024513	BD3G47400
SB01G041065	SB00G01420	BD1G68060
SB01G032640	SB01G032630	BD1G60060
SB09G019700	SB01G032260	BD2G25930
SB04G024570	SB04G024565	BD3G47472
SB04G006240	SB09G005035	BD3G06727
SB04G038360	SB04G038350	BD3G60610
SB01G028140	SB09G010101	BD3G34387
SB10G023705	SB07G028095	BD1G36467
SB09G012310	SB09G012300	BD2G30480
SB01G037780	SB01G022485	BD1G64750
SB05G005753	SB05G005751	BD4G23417
SB02G034680	SB02G034675	BD1G26287
SB08G010820	SB08G010850	BD4G08140
SB03G022580	SB03G022513	BD2G13827
SB04G009880	SB04G028260	BD3G09870
SB05G008630	SB05G008620	BD4G22110
SB01G012230	SB05G021620	BD1G12740
SB10G027155	SB03G036230	BD1G65020
SB03G003780	SB03G003770	BD2G05030
SB10G004470	SB10G004465	BD1G48426
SB10G024810	SB03G041280	BD1G35500
SB07G007470	SB02G035380	BD3G18700
SB10G004520	SB10G004180	BD1G48390
SB03G007300	SB03G007303	BD2G02010
SB02G027400	SB07G028970	BD4G32910
SB04G024110	SB04G024105	BD3G27090
SB01G008280	SB10G025980	BD1G08810
SB07G020410	SB09G007187	BD1G55810
SB04G002080	SB03G007132	BD3G02420
SB06G017880	SB03G026603	BD5G11090
SB09G019690	SB03G003990	BD2G25940
SB02G022225	SB04G023030	BD3G30800
SB07G005210	SB08G000620	BD3G15300
SB05G020830	SB05G020825	BD4G16870
SB10G009040	SB08G009080	BD4G39480
SB08G003600	SB05G003470	BD4G42100
SB09G000310	SB03G008990	BD2G40010
SB01G029640	SB09G008006	BD3G32900
SB04G008770	SB05G026133	BD3G09280
SB06G030730	SB06G030720	BD5G24070
SB01G018040	SB05G004513	BD3G30047
SB03G009220	SB01G035190	BD2G03770
SB02G001490	SB02G007990	BD1G58920
SB06G029280	SB06G029300	BD5G22580
SB10G026810	SB10G026820	BD1G32300
SB08G005030	SB05G006020	BD4G41020
SB10G004750	SB01G005840	BD1G48210
SB07G025540	SB03G037685	BD3G41780
SB06G029510	SB04G023050	BD5G22790
SB02G035210	SB02G035190	BD1G25816
SB04G010650	SB04G010640	BD3G10240
SB04G001620	SB04G001223	BD3G01870
SB09G021940	SB00G01390	BD2G23790
SB07G027370	SB07G021830	BD1G71650
SB04G033060	SB04G011280	BD3G10610
SB01G048220	SB04G011116	BD1G76300
SB07G000625	SB01G018170	BD3G13150
SB10G021046	SB04G020373	BD1G03660
SB10G007460	SB04G033860	BD3G58310
SB04G030100	SB04G030090	BD3G53160
SB10G005110	SB01G008560	BD1G47890
SB01G038090	SB09G015880	BD1G65060
SB02G040150	SB03G011343	BD1G20550
SB04G025900	SB04G022110	BD1G26350
SB04G035750	SB00G02300	BD3G53970
SB01G046860	SB07G000540	BD1G74950
SB09G027070	SB03G032410	BD2G18140
SB04G003290	SB04G003270	BD3G03637
SB06G020960	SB01G045640	BD5G14137
SB03G043430	SB03G043420	BD2G58350
SB06G032470	SB05G022900	BD5G25750
SB01G037400	SB01G014305	BD1G64400
SB01G032540	SB01G032560	BD1G60000
SB04G034990	SB10G006550	BD3G57120
SB07G005435	SB02G010660	BD3G18520
SB01G009630	SB00G02100	BD1G10210
SB04G037430	SB02G035880	BD1G25220
SB02G035260	SB06G009133	BD1G25790
SB02G039970	SB03G034520	BD1G20780
SB01G002840	SB02G007270	BD1G03410
SB09G024280	SB10G009440	BD2G21210
SB04G001040	SB04G001050	BD1G54220
SB03G007840	SB03G003250	BD2G01550
SB01G005790	SB00G00255	BD1G06310
SB06G033710	SB06G033700	BD4G43750
SBCG01130	SB03G015875	BDCG00990
SB03G002935	SB09G006160	BD2G05920
SB08G007590	SB08G007580	BD4G39887
SB01G006750	SB09G004850	BD1G07230
SB03G011090	SB03G011080	BD2G10450
SB09G017190	SB03G009740	BD2G28130
SB01G003750	SB01G003760	BD1G04210
SB02G034770	SB01G022280	BD1G26180
SB01G028600	SB02G039850	BD3G33790
SB01G035110	SB01G035105	BD1G62230
SB04G024360	SB03G046860	BD3G47270
SB10G016920	SB04G030310	BD1G42270
SB10G028950	SB05G021420	BD1G34180
SB04G003530	SB04G003350	BD3G03830
SB10G022840	SB04G007335	BD1G37270
SB05G019050	SB05G019053	BD4G17940
SB10G030820	SB10G030810	BD1G29820
SB06G023185	SB04G027060	BD3G49720
SB02G031670	SB02G031680	BD4G36920
SB10G002780	SB01G031572	BD1G51060
SB08G003480	SB10G028180	BD4G42210
SB01G043440	SB10G009060	BD1G70710
SB07G025160	SB02G030420	BD3G42070
SB01G034760	SB10G013601	BD1G61820
SB08G000790	SB05G000730	BD4G44770
SB02G034316	SB02G034313	BD1G26580
SB02G020390	SB02G019560	BD4G44157
SB01G019533	SB01G019530	BD3G28550
SBCG00080	SB02G003795	BDCG00050
SB08G004630	SB05G022530	BD4G41390
SB08G017730	SB08G022145	BD4G01215
SB06G028050	SB02G012980	BD4G08167
SB09G021980	SB04G004800	BD3G21370
SB06G017510	SB01G012600	BD1G13030
SB04G007366	SB04G007363	BD3G07997
SB04G035220	SB03G030510	BD3G60160
SB09G028700	SB03G030430	BD2G16320
SB10G025890	SB10G025880	BD1G31027
SB03G036600	SB07G028000	BD2G51900
SB03G034912	SB03G034914	BD2G50180
SB02G034370	SB05G021615	BD1G26530
SB08G000235	SB05G000220	BD4G45340
SB10G010320	SB10G010310	BD1G43620
SB09G020120	SB02G009720	BD2G25570
SB06G013250	SB01G029350	BD5G07300
SB03G000540	SB02G033835	BD2G08110
SB02G023400	SB02G023395	BD4G29190
SB06G032960	SB07G000240	BD5G26180
SB05G003260	SB08G003270	BD4G42290
SB04G029240	SB04G000960	BD3G56310
SB06G026607	SB06G026605	BD5G19570
SB01G013993	SB01G007320	BD1G07860
SBMG00410	SB00G01700	BD1G47515
SB01G004680	SB02G005745	BD1G05010
SB07G025220	SB00G02080	BD3G42030
SB03G034450	SB06G026683	BD2G49710
SB03G030490	SB03G030515	BD5G01990
SB01G035530	SB01G035525	BD1G62630
SB05G001970	SB05G001960	BD4G43670
SB03G046070	SB02G043745	BD2G61017
SB02G031440	SB05G021748	BD4G36690
SB10G004840	SB04G030200	BD1G48140
SB03G005130	SB03G005120	BD5G22017
SB01G004566	SB01G004563	BD4G03302
SB04G002063	SB04G002066	BD3G02497
SB03G044353	SB03G044350	BD2G59247
SB03G035520	SB03G035510	BD2G50850
SB05G023450	SB01G000230	BD1G00470
SB05G025510	SB05G025515	BD4G12060
SB10G025180	SB03G041021	BD1G30410
SB03G033240	SB02G010740	BD2G43127
SB04G033640	SB04G033630	BD3G50020
SB05G003080	SB06G025080	BD5G18090
SB09G006100	SB03G003030	BD2G33190
SB08G001370	SB05G002130	BD5G14550
SB08G002833	SB08G002830	BD2G05445
SB03G030080	SB10G010666	BD2G45590
SB02G030130	SB03G001480	BD2G07237
SB09G002000	SB09G001990	BD2G37680
SB09G002540	SB01G039836	BD1G51790
SB01G044890	SB01G008330	BD4G35830
SB09G025290	SB00G00030	BD2G20110
SB10G026840	SB06G014820	BD5G22340
SB06G024330	SB06G024320	BD2G13870
SB06G033040	SB06G020130	BD5G26260
SB00G01785	SB00G00155	BD2G54250
SB03G047156	SB03G047153	BD2G61920
SB01G004800	SB04G002355	BD1G05110
SB04G030610	SB09G028010	BD3G52720
SB03G033450	SB03G015391	BD2G48750
SB10G026170	SB04G005185	BD1G31357
SB02G025590	SB02G025580	BD4G31070
SB04G031530	SB03G043610	BD3G52006
SB03G046030	SB07G020505	BD3G19990
SB10G022550	SB04G007780	BD1G37510
SB10G029750	SB03G033410	BD2G21780
SB08G015250	SB07G019960	BD1G74840
SB05G027930	SB04G000630	BD1G74340
SB02G002600	SB01G006460	BD1G58030
SB06G028160	SB07G006100	BD5G21350
SB10G006810	SB04G034665	BD1G46270
SB01G037680	SB01G037660	BD1G64670
SB08G001510	SB03G040650	BD2G55710
SB04G031540	SB03G043600	BD3G52000
SB04G000750	SB05G019035	BD4G10920
SB08G021340	SB01G006580	BD4G01900
SB06G028190	SB06G028205	BD5G21380
SB05G024570	SB01G018080	BD4G13770
SB01G010550	SB01G010540	BD1G11220
SB04G024450	SB00G00970	BD3G47350
SB04G023850	SB04G023840	BD1G70870
SB08G014960	SB08G014950	BD1G07717
SB05G007250	SB05G007240	BD4G21660
SB02G034730	SB02G034725	BD1G26220
SB10G019760	SB10G019740	BD1G39937
SB09G019610	SB05G019080	BD2G26076
SB03G038315	SB03G038300	BD2G53600
SB01G042610	SB06G011721	BD1G69650
SB08G018150	SB02G037450	BD4G04800
SB01G045950	SB02G026493	BD1G73790
SB03G029140	SB01G050343	BD4G39580
SB02G004620	SB02G004600	BD1G55460
SB10G011040	SB02G041260	BD1G43120
SB03G004723	SB03G004726	BD2G04150
SB04G003740	SB04G003733	BD3G04150
SB05G002780	SB07G019996	BD4G42940
SB04G004990	SB03G029540	BD2G45180
SB05G000540	SB08G000570	BD4G44844
SB01G012610	SB04G006685	BD1G12980
SB01G044250	SB01G044430	BD1G71630
SB08G018890	SB07G023743	BD4G03890
SB10G008700	SB06G031720	BD5G24980
SB02G040060	SB03G025520	BD1G25860
SB02G034970	SB02G022380	BD1G26020
SB04G004640	SB04G004630	BD3G05160
SB03G013280	SB09G018120	BD2G12300
SB04G035685	SB08G008390	BD3G53887
SB01G016590	SB03G022366	BD1G15300
SB10G025730	SB04G025270	BD1G30980
SB04G036260	SB02G032720	BD3G54420
SB10G008570	SB02G033090	BD1G04477
SB01G025600	SB01G025960	BD3G20830
SB03G028750	SB03G028755	BD4G42217
SB02G025360	SB02G023580	BD1G54817
SB07G023930	SB01G028795	BD3G33620
SB03G003060	SB02G029155	BD4G34460
SB02G011430	SB02G011420	BD4G38357
SB04G024900	SB01G012185	BD4G24847
SB09G030220	SB09G030210	BD1G17900
SB10G002530	SB10G002555	BD1G51480
SB05G022090	SB01G019755	BD4G16230
SB04G020580	SB06G011401	BD3G44010
SB09G020450	SB09G026460	BD2G18960
SB06G020330	SB06G020310	BD5G13600
SB10G019710	SB04G009870	BD4G03860
SB03G028390	SB09G029890	BD2G44000
SB02G035820	SB02G035810	BD1G25290
SB09G005560	SB04G024200	BD2G33690
SB01G042540	SB09G004175	BD1G69590
SB01G044770	SB01G044785	BD3G23300
SB03G006810	SB00G00490	BD2G02460
SB03G035360	SB03G000215	BD2G50700
SB10G001330	SB10G001320	BD5G15930
SB10G009960	SB02G023490	BD1G43705
SB08G023300	SB04G037390	BD4G00300
SB08G020140	SB08G020060	BD4G02810
SB02G033510	SB02G033515	BD1G27356
SB04G023310	SB07G022150	BD3G46190
SB01G002720	SB01G002700	BD3G07980
SB09G003890	SB05G006893	BD4G20930
SB06G003300	SB06G003310	BD5G04577
SB04G008480	SB10G021735	BD3G09013
SB01G030470	SB09G019906	BD3G32180
SB02G038350	SB02G038345	BD1G22590
SB03G047510	SB03G000990	BD2G62630
SB09G016480	SB09G007230	BD2G29350
SB10G009260	SB04G028780	BD1G44120
SB09G025160	SB09G025185	BD2G20250
SB01G038765	SB07G024190	BD1G65850
SB10G008690	SB08G004685	BD1G44640
